Unnamed: 0,id,cluster_id,type,decision_text,date_filed,scdb_decision_direction
31,103368,103368,010combined,"Petitioner's trial is rehearsed. The Texas Court of last resort denies petitioner his request for a reconsideration of his prior conviction and sentence. However, the court ultimately finds that the use of the state's alleged confession did not violate the due process guarantee of due process under the Fourteen-th Amendment. In particular, the State contends that it was used to convict petitioner in order to obtain a due process verdict. Petitioners case falls short of this due process standard because he is an ""illiterate farmer"" who was arrested on a farm several miles from livingston. He was whipped by armed Rangers during his stay in the county jail. Although petitioner has no lawyer, he had no charges against him and was out of contact with anyone. A local peace officer testified that one ranger took him out so often that the exact number cannot be recalled; however, the law does not say how many times the man was taken away from the prison at night. This testimony supports the claim that the Texas Rangers interrogated petitioner repeatedly until the guilty plea was completed.",1940-05-27,2.0
34,9419109,103372,020lead,"In this paper, Justice Frankfurter argues that the Texas Railroad Commission's oil proration orders are invalid because they do not allow for certain wells to be allowed to drill at an excessively rapid rate. The court disagrees with the commissioner's decision and dismisses the case as a matter of ""due process of law.""",1940-06-03,2.0
35,103415,103415,010combined,"

  Mr. Justice Frankfurter
 

  delivered the opinion of the Court.
 

  This case, involving another application of the Wisconsin Privilege Dividend Tax considered in
  
   Wisconsin
  
  v.
  
   J. C. Penney Co., ante,
  
  p. 435, is governed by that decision except for a contention made by this respondent but not pressed here in
  
   Penney1's
  
  case.
 

  The Commerce Clause is invoked. Büt it is too late in the day to find offense to that Clause because a state tax is imposed on corporate net income of an interstate enterprise which is attributable to earnings within the taxing state,
  
   Matson Navigation Co.
  
  v.
  
   State Board,
  
  297 U. S. 441. That liability for such a tax is made con-, tingent upon later happenings, as in the circumstances of the present case, makes no difference.
 


   Reversed.
  


  The Chief Justice, Mr. Justice McReynolds, Mr. Justice Roberts, and Mr. Justice Reed dissent for the reasons stated in the dissenting opinion in
  
   Wisconsin v. J. C. Penney Co., ante,
  
  p. 446.
 
",1941-01-13,2.0
38,9419127,103419,020lead,"Petitioners Z. and F. assets realization corporation and American- Hawaiian Steamship Company are entitled to payment from the settlement of war claims Act of 1928 for certain awards made in favor of German aristocrats. The Court dismisses petitioners' bills for lack of jurisdiction because they were not brought before the Court by Congress. The Mixed Claclaims Commission was established under an agreement between the two governments, on August 10th 1922, to decide the amount that should be paid byGermany in satisfaction of their financial obligations under treaty. The mixed claims claimants arose due to the destruction of buildings at Black Tom/Kingsland, new Jersey in 1916 and 1918. The United States tried to rehearse these cases but were denied. In 1932, the German government appealed to both the American commissioner and the umpire to reconsider its decision. After hearing more evidence, the commission finally decided that it was competent to make final decisions on the matter. However, the question of whether the award was correct was still unanswered until the date of the meeting of the German charge d'Affaireses. The German agent moved for further awards against the U.S. on behalf of his own country. The court dismissed the case as political since the District Court had no jurisdiction to entertain this suit. There are some preliminary questions which we think are indubebitably appropriate: whether petitioners can bring this suit; whether Congress has authority to grant payments out of the ""German special deposit account""; and whether the certificate of each award is conclusive or just ministerial.",1941-01-06,2.0
39,9419128,103419,030concurrence,"In this case, Douglas and Justice Black argue that the petitions set up no ""justiciable controversy"" which the court has power to decide. The only ground on which petitioners seek relief is that the awards made by a mixed claims commission were ""wholly nul and void,"" and without jurisdiction upon the part ofthe alleged commission. A declaratory decision was sought to had the awards declared unlland and vacant, and to injoin the Secretaries or the Secretary of state from certifyting and paying such awards so certified. Additionally, petitioners asked for an injunction demanding that the secretary of state not pay them other awards of their commission certified by the secretly of state. The district court dismissed the complaint and the court did not have authority to review the actions of the mixed claims comision. However, it does believe that the certifications must be final and conclude because the political branches are responsible for making final decisions.",1941-01-06,2.0
40,103420,103420,010combined,"In this case, the court is able to dismiss a lawsuit brought against the alien property custodion by arguing that the claimant was an ""enemy"" under the Trading Act. The court also decides that there may be a right to bring a suit on behalf of a non-Enemy owner who has been seized or owed money by an enemy.",1941-01-06,1.0
41,103421,103421,010combined,"In this brief, Justice Stone argues that the tax provisions in the 1934 act allow an individual to deduct certain losses from a purchase of real estate acquired for profit. The court disagrees with the majority of the appeals made by the Board of Trash vs. Vendor, but rejects the argument that the loss is deductible only as a result of ""sale"" or ""forced sales.""",1941-01-06,1.0
42,103434,103434,010combined,"The Court finds two petitioners guilty of treason under the ""Espionage Act."" They are charged with obtaining information concerning the national defense and delivering or inducing to deliver these documents to another nation. A third party is acquished on all three charges. Gorin was an agent of the United State and had obtained fifty reports from the Navy Intelligence office that relate to Japanese activity in the U.S; Salich was a Russian born citizen who had access to those reports. Petitioner appeals to the Congress to declare that the places listed in Section 1 are connected with the National defense. The House definition of nationaldefense was changed during the war, but it did not specify any specific places. The statute does not limit the types of information covered by the law. It only states that the crime must be used to obtain information about the national defend. If the government were in possession of the reports, they could use them to advise their state of the people involved in spying on foreign citizens. However, the court has no authority to decide whether or not the reports have to deal with the American defense. In fact, the instructions for the jury determine whether the information contained in the reports is connected with or relation to the US national defense.",1941-02-10,1.0
45,103437,103437,010combined,"In this case, the court argues that respondent's claim that it is inequitable to bring a civil suit against him because of Nebraska's ""full train crew law,"" which makes it illegal for railroads to operate passenger trains with a crew composed of less than five people. The plaintiff pleads that the statute violates the constitution by prohibiting railroads from employing black employees as brakemen or batmen and that the state attorney should make the records of the case available to him so that he can prosecute respondent for violations of the law. The court dismisses the petitioners' bill of complaint on the grounds that there are numerous criminal suits being brought against respondent due to the fact that his job will result in large fines. The Court appeals to the constitutionality of the statute and concludes that courts of Equity must not restrain criminal proceedings.",1941-01-20,2.0
46,9419136,103438,020lead,"Justice Black defends an alien registry law passed by the state of Pennsylvania in 1939. The act prohibits aliens from registering or showing identification cards to police, and punishes those who do not show it. Appelleeks appeals to the Supreme Court to hold that Congress has violated the Constitution's ""uniform rule ofnaturalization"" by enforcing federal laws on aliens. In particular, the Court rejects the argument that Congress must have concurrent powers to regulate aliens as distinct groups. Although Congress has proposed many provisions for aliens to be admitted into the country, these provisions have not been included in any legislation passed by Congress.",1941-01-20,2.0
47,9419137,103438,040dissent,"In this paper, Justice Stone defends the Constitution's provision for Congress to pass a law authorizing aliens to be admitted into the U.S. as long as they are not citizens. The court disagrees with the majority of the Court's opinion that Congress should not have passed such a bill because it would violate some rights granted or secured by the Constitution and might also interfere with the national government's powers over foreign relations. However, the court does not believe that Congress could pass such legislation without Congress's approval. It is clear that Congress has no power over alien residents in the absence either of these powers or any other federal authority.",1941-01-20,1.0
48,103441,103441,010combined,"In this case, the court ruled that the date of payment of the stockholder's assessment was too late and that the statute of limitation did not begin until December 13, 1938. The court also ruled in favor of the doctrine of ""a complete andpresent cause of action"" under the Arkansas law. Although the state courts had previously held that an action must commence after the due date for payment, the Court has held that the time frame is appropriate here because it does not matter whether the claim is made on or after the date set for payment.",1941-02-03,2.0
49,103442,103442,010combined,"In this case, the Court argues that Congress has the authority to prohibit the sale of lumber produced by employees who are less than prescribed wages or who work at greater than prescribed hours. The question is whether Congress can require an employer to keep record of hours worked by each employee in order to comply with the provisions of the Act and the Constitution. The court dismisses the charges against appellee because the laws do not violate the terms of the contract under which he is engaged. The only question facing the court is whether congress has the power to prohibit goods produced for ""interstate commerce."" It does not fall within the definition of ""production for commerce,"" but rather it extends to activities interstate that have a significant effect on the nation's economy.",1941-02-17,2.0
50,103443,103443,010combined,"Petitioners challenge the Fair Labor Standard Act of 1938 to three issues: first, whether the Constitution is authorized by Congress; second, whether a wage prescribed by the Administrator is unconstitutionally unauthorized and invalid; and third, whether it does not comply with the requirements of section 5 of the act. Petitioner Opp cotton Mills, an Alabama manufacturer, petitions the Court of  appeals for reconsideration of the order setting a uniform minimum wage in the industry but the Court dismisses the order. The general provisions of the Act prohibiting interstate commerce from being produced by employees employed less than required wages or more than required maximum hours without pay of the required Overtime Wage. The Federalist Papers respond that the Order will not curtail employment because the definition of ""industry"" as defined in the order is too vague. The Committee recommends a 32% cent per hour wage rate which will not significantly curtail any group of workers. The results of the committee's hearing are supported by evidence at the hearing.",1941-02-17,2.0
53,9419138,103446,020lead,"In this case, Justice Black defends a state tax imposed by the Arkansas legislature on domestic corporations that are not subject to federal taxation. He argues that Congress has granted exclusive jurisdiction over certain portions of the Hot Springs reservation under the 1891 act and that the state cannot levy such taxes unless the government agrees to pay the tax. The court disagrees with the claim that only taxes can be levied on tangible property; however, the words ""tearnem"" and ""ad-valorem,"" which appear in the bill, do not appear in it.",1941-02-03,2.0
54,9419139,103446,030concurrence,"In this brief, Justice Robets defends the state's right to levy a tax. He argues that Congress has established a reservation for the states to impose taxes on its own citizens and that it is not necessary for the state to have consent to pass laws prohibiting the tax. Furthermore, since property located on another sovereign territory does not forbid the state from raising a new tax, the state cannot foreclose itself from levying such taxes.",1941-02-03,2.0
55,103447,103447,010combined,"Lincoln Mine operating Company, a foreign corporation, brings suit in NewYonsham Federal Court. The federal court has judgment against it for the amount of money that was due to Lincoln under an attachment proceeding. In New York, however, the district court is not allowed to collect the money because the judgment is still unpaid. Nebraska's Supreme Court, on the other hand, does not have authority to collect debts from state courts. This case falls into the category of ""general law"" and involves disputes between state courts and federal courts.",1941-04-14,1.0
56,103448,103448,010combined,"In this case, the packers and the railroads argue whether they can deliver livestock at a station without paying a ""yardage charge"" to the stockyards company. The court dismisses Armour's complaint because it is not simple enough for petitioner to present an answer or evidence. Both courts hold that the issues presented by the complaint relate to ""such complex transportation problems."" They do not believe that adjudicating the issues presents legal questions must be presided over by extensive evidence in order to make a proper decision.",1941-02-03,1.0
57,103449,103449,010combined,"Goltra's lawsuit against the US is based on a private law that allows interest to be allowed on certain claims. The Court has granted interest on several claims, but it does not consider sufficient evidence to determine the value of the vessels and equipment involved in the lawsuit. In particular, the court did not find sufficient evidence as to whether or not the fleet was actually worth the purchase price.",1941-02-03,2.0
58,103450,103450,010combined,"Petitioner invests a considerable amount of time in managing his real estate, stocks, and bonds. The Commissioner refuses to deduct the salary and expenses that he spends on looking after his property. The court disagrees with the Commissioner's interpretation of the definition of carrying on ""any trade or business."" However, the petitioner maintains that his financial affairs are conducted through his office in New York City and that no expense is incurred by him for maintaining such a large portfolio. The Court reaffirms the previous doctrine that investing in one's own stock or bonds constitutes ""carrying upon a business.""",1941-03-03,2.0
59,9419140,103451,020lead,"In this brief, Justice Frankfurter argues that the use of ""conventional, peaceful activities"" by unions in disputes over certain jobs violates the law. The case concerns whether an employee's actions are considered to violate the law because they involve ""contradictory, conventional, or non-labor activities."" Because Congress has not explicitly stated that such conduct may be criminal, it is not necessary for the court to interpret the law as meaningless.",1941-02-03,1.0
60,9419141,103451,030concurrence,"In this paper, Justice Stone defends the indictments against a conspiracy by peacefully pickingeting and publicly requesting that Anheutilisateur-Busch shut down its plant. He also dismisses the charges against the Brotherhood as unconstitutional because they do not violate the Sherman Act or the Clayton Act; rather, they are ""jurisdictionally and substantial concerned.""",1941-02-03,1.0
61,9419142,103451,040dissent,"In this brief, Justice Roberts dissents from the Court's decision that the conspiracy charges a primary boycott of interstate commerce as a result. The court disagrees with the district court's interpretation of the Sherman Anti-trust Act and the Clayton Act, which exempt labor organizations from antitrust laws. However, the court finds that the provisions in the Act govern not the substantive right of persons or organizations but only regulate the practice under which it is practiced. It furthermore dismisses the claim that Congress intended to extend a strict limitation on the authority of federal courts to deal with labor disputes.",1941-02-03,1.0
62,103452,103452,010combined,"In this paper, Justice Frankfurter argues that the Grand River dam project is not unconstitutional because the governor of the state does not have the authority to make him commander-in-chief of the militia. The case is brought before a three-judge court under  266) which prohibits any action by a state officer in the enforcement of an order issued by an executive board or commission. A district court hears the case and decides on the merits of the case.",1941-02-03,1.0
63,103453,103453,010combined,"In this case, Douglas argues that the value of single premium life insurance policies is not determined by the dollar amount on the policy's surrender charge. It is determined by how much the policy actually cost to the buyer and how much it would be worth in the marketplace. If the owner of such a policy does not pay the full purchase price, then there will be no difference between the actual value of the contract and the value at the time of the sale. The only evidence of value is the fact that the owner retains the right to keep the policy for investment purposes and receives the face amount upon the death of the insured.",1941-02-03,2.0
64,9419177,103556,030concurrence,"
The Chief Justice, Me. Justice Roberts and Mb. Justice Reed,
concurring:
The reasons which led to dissent in Toucey v. New York Life Insurance Co., and Phoenix Finance Corp. v. Iowa-Wisconsin Bridge Co., ante, p. 118, do not exist in this case. There is no federal decree and therefore no need of an injunction to protect the decree or prevent relitigation.
",1941-11-17,1.0
65,9419178,103557,020lead,"In this case, the plaintiff, a United States citizen and a California resident, challenges the prohibition on interstate commerce imposed by  2616. The court vacates the provision for indigent people to travel from state to state without being employed or provided with funds. It is decided that the term ""indigent person"" does not fit into the definition of an eligible person under the Constitution. However, it is conceded that there are other provisions in the Constitution that prohibit states from interfering with interstate business.",1941-11-24,1.0
66,9419179,103557,030concurrence,"In this paper, Justice Douglas argues that the Constitution does not allow for state interference in the free flow of people. He defends the right to travel freely from state to state as an incident of ""national citizenship protected by privileges and Imunities."" It was recognized as such a right under the Fourteen-th Amendment before it was explicitly granted. However, since the rights of movement are so fundamental, there is no reason why the Court should interpret the Constitution's provisions against state interference as meaningless.",1941-11-24,1.0
67,9419180,103557,030concurrence,"In this paper, Justice Jackson defends the Fourteen-Aid Clause of the Constitution declaring that all persons born or naturallyized in the U.S. are citizens ofthe United States and subject to jurisdiction there. He argues that it is not a valid clause for a citizen to be allowed to move from one state to another without paying any taxes. The Court has consistently rejected every plea for citizenship as ambiguous because of the difficulty of giving meaning to specific phrases. For example, an alien who was admitted under the federal law had no rights to enter or abide in the states at all. This means that he cannot claim freedom to move back to California but can only return to the states where he lives. It also means that even if someone does not have enough money to pay for his education, he may still be able to go to school.",1941-11-24,1.0
68,103558,103558,010combined,"In this case, the respondent is a former Ford owner who has overpaid her taxes in 1913. She seeks a refund from the tax collector for the excess amount that the tax was charged on her original tax return. The collector refuses to set aside the value of her old stock because it is too high. Finally, the court dismisses the claim as an ""informal claim for refund."" The government contends that there is no right to recover any sum of money due to an overpayment by a collector who has unlawfully collected taxes.",1941-12-08,1.0
69,103559,103559,010combined,"In this case, the Supreme Court ruled on Petitioner's motion for summary judgment as to whether or not members of the auto-mutual insurance company were subjected to an assessment by virtue of their association with the company. The court found that there was no provision in the contract authorizing the insured to become a ""member"" of the company and therefore subject him to payment of an assessment. However, it did not explicitly state that the policy contained any provision making the member a member; rather, it simply stated that they would have to pay the amount required under the terms of the contract.",1942-01-05,1.0
71,9419181,103561,020lead,"The petitioner is convicted of the murder of Mary James on August 5, 1935. He pleads not guilty and is tried, sentenced to die, and appealed to the Supreme court for habeas Corpus. The case concerns the death of his wife, Mary James, who was found drowned by another man in Colorado Springs during the investigation of her death. The state contends that Hope's testimony did not corroborate the charges against him; however, the court does not deny it. In addition, the trial judge refuses to grant continuance so as to allow petitioner to answer depositions. Finally, the Court determines whether the admission of James's confessions rendered him deprived of his life with due process because he had no formal education.",1942-02-02,2.0
72,9419182,103561,040dissent,"James admits to being involved in the murder of Darnay, but he is held for forty-two days and sentenced to serve time in jail. On May 2, an assistant district attorney tells James that Hope had confessed to the crime. James refuses to talk and is taken back to his prison cell. At about midnight, James is taken out to get food. When he returns, he makes a full confession.",1942-02-02,1.0
73,103562,103562,010combined,"Armistead is drowned in the Virginia River on August 18, 1938. He was working as a ship's keeper and his employer, Motorboat Sales, Incorp. The Deputy Commissioner ordered that Armisstead pay compensation to his widow for the loss of her and three children. The court ruled that Armiste was not acting at the time or during the accident; however, the Court did not believe it was appropriate for Armisted to be involved in the course-of-work. The Court furthermore ruled armistead should have been allowed to claim compensation from state law. Although Congress had expressly kept away from this area, the Supreme Court held that federal legislation could not be used to provide for recovery under such circumstances. This case falls into the category of ""Aviation and Maritime jurisdiction"" where states may not apply their laws.",1942-01-05,2.0
80,103566,103566,010combined,"Douglas defends the provision in Chapter 117, which provides for a ""circuit court of appeal"" composed of three judges. He contends that this arrangement will not conflict with Congress's intent to create a system in which only three judges are allowed to sit in their respective courts. However, it is clear that there are some difficulties involved in creating such a structure. First, the Court must be composed of five judges; second, petitioner must deduct certain expenses under the revenue act of 1928 as ""ordinary and necessary expense."" The Supreme Court has approved rules for the court to consist of three judged by two judges. Third, the Constitution requires that all three judges serve in the court. Fourth, Congress has passed a bill amending the Judician Code to allow majority of the judges in a given circuit to provide for an equal number of judges to sit at the same time as the other judges. Fifth, the Senate Committee on Judiciaries recommends that the majority of those who serve in any given circuit should have the power to hear particular cases when they feel it is best to do so.",1941-12-08,2.0
82,9419189,103568,020lead,"Justice Jackson defends the Nickel Plate Railroad Company as a consolidation company under five states. The new company is composed of several constituent companies, each of whom has a significant amount of debt and other obligations. The New York Railroad law allows for any debt or liability that either of the two corporations may have to pay in order to form a new entity. The Lake Eastern Railroad had secured a mortgage on certain property from the Northern O railroad. Because of this loan, it was held liable by a municipal court in New York. After the consolidation, however, the appellant appealed to the Interstate Commerce Board to issue preferred stock and common capital stock. However, the Board refused to approve the consolidation because the terms of its consolidation did not meet the requirements of the federal law. Finally, the board approved the issue of shares for upwards of $3,000,000. Although the company sought to extend maturity periods to make an assumed obligation as primary creditor, the approval of such arrangements was denied. In 1921, the company asked the commission to endorse its bond guarantee. This agreement was granted after the consolidation but before the expiration of the term of the original contract. It also allowed the company to assume responsibility for the loans made by the former company. Since the old company's debts were so large, the commissioner decided to hold itself responsible for them until the new company could propose some action.",1941-12-08,1.0
